,Team,FG_Percentage,TP_Percentage,FT_Percentage,Minutes.per.Game,Points.per.Game,TRB.per.game,Assits.per.Game,WS_per_game,BPM,VORP,Player
116,MIA,0.478,0.367,0.766,21.587557603686637,9.894009216589861,4.894009216589862,1.8847926267281105,25.0,1.4,8.1,Kelly Olynyk
117,MIA,0.501,0.283,0.636,17.336283185840706,5.79646017699115,3.168141592920354,0.5132743362831859,4.4,-0.5,0.8,Derrick Jones Jr.
118,MIA,0.373,0.275,0.667,11.5,3.3125,1.25,0.375,0.2,-4.4,-0.1,Duncan Robinson
119,MIA,0.556,0.5,1.0,27.0,24.0,2.0,3.0,0.2,4.0,0.0,Kendrick Nunn
120,MIA,,,,1.0,0.0,1.0,0.0,0.0,-52.7,0.0,KZ Okpala
121,MIA,0.429,0.5,1.0,34.0,14.0,8.0,1.0,0.1,-3.7,0.0,Tyler Herro
122,,0.454,0.341,0.835,32.94263862332696,16.692160611854685,4.927342256214149,3.451242829827916,66.1,4.0,26.0,Jimmy Butler
123,MIA,1.0,,1.0,11.0,8.0,6.0,0.0,0.1,9.6,0.0,Chris Silva
124,,0.49,0.073,0.755,25.19672131147541,7.624121779859485,6.7189695550351285,0.8524590163934426,50.7,-1.7,1.5,Udonis Haslem
125,MIA,0.37,0.455,0.571,10.11111111111111,3.2222222222222223,1.3333333333333333,0.7777777777777778,0.0,-7.2,-0.1,Daryl Macon
126,DET,0.429,0.333,0.859,25.22975517890772,12.88135593220339,2.952919020715631,4.397363465160075,28.3,-0.1,6.5,Reggie Jackson
127,DET,0.543,0.145,0.449,30.85082872928177,14.167587476979742,13.714548802946593,1.156537753222836,56.8,1.8,16.1,Andre Drummond
128,DET,0.42,0.323,0.68,14.224489795918368,4.637755102040816,2.770408163265306,0.5816326530612245,4.8,-1.8,0.2,Thon Maker
129,DET,0.443,0.408,0.844,21.37226277372263,8.766423357664234,2.6423357664233578,1.7518248175182483,5.4,-1.4,0.5,Luke Kennard
130,DET,0.388,0.36,0.799,22.391176470588235,8.176470588235293,2.65,1.7441176470588236,10.6,-1.3,1.3,Langston Galloway
131,,0.502,0.342,0.692,35.03145695364238,21.85430463576159,8.968543046357615,4.453642384105961,75.3,4.0,32.3,Blake Griffin
132,DET,0.425,0.383,0.819,21.826185101580137,6.257336343115124,2.363431151241535,1.0316027088036117,13.5,-1.9,0.3,Tony Snell
133,DET,0.4,0.258,0.742,19.706666666666667,4.346666666666667,2.52,1.2666666666666666,1.4,-2.1,0.0,Bruce Brown
134,,0.329,0.326,0.6,10.476190476190476,3.1666666666666665,0.8571428571428571,0.8809523809523809,-0.1,-5.7,-0.4,Sviatoslav Mykhailiuk
135,,0.319,0.286,0.636,7.5,2.3461538461538463,0.7692307692307693,0.3076923076923077,0.0,-5.2,-0.2,Khyri Thomas
136,DET,0.492,0.31,0.707,9.75,5.153846153846154,2.8846153846153846,0.25,1.3,-3.4,-0.2,Christian Wood
137,DET,0.453,0.304,0.824,33.146252285191956,18.828153564899452,3.495429616087751,5.603290676416819,37.3,0.3,10.5,Derrick Rose
138,DET,0.448,0.337,0.778,25.96896551724138,11.610344827586207,5.498275862068965,1.693103448275862,23.7,-0.8,4.4,Markieff Morris
139,DET,0.411,0.329,0.731,18.146341463414632,5.154471544715447,2.4146341463414633,4.060975609756097,6.6,-2.3,-0.4,Tim Frazier
140,LAC,0.476,0.324,0.614,23.07983193277311,7.355042016806722,3.6995798319327733,0.9180672268907563,19.4,0.3,6.3,Maurice Harkless
141,LAC,0.421,0.349,0.839,24.6051227321238,14.221985058697973,2.2017075773746,3.3094983991462112,59.7,0.2,12.9,Lou Williams
142,LAC,0.43,0.423,0.806,22.85,9.125,1.7125,1.4875,3.6,-1.0,0.4,Landry Shamet
143,,0.4,0.316,0.667,9.696969696969697,3.393939393939394,1.2424242424242424,0.5757575757575758,0.1,-4.3,-0.2,Jerome Robinson
144,,0.433,0.378,0.844,33.81456953642384,19.839403973509935,6.44205298013245,3.3112582781456954,65.2,3.8,29.9,Paul George
145,LAC,0.629,0.156,0.626,19.265625,11.25390625,4.421875,1.25390625,19.3,2.5,5.6,Montrezl Harrell
146,LAC,0.495,0.383,0.848,30.846153846153847,17.692307692307693,6.316239316239316,2.41025641025641,66.0,6.1,29.5,Kawhi Leonard
147,LAC,0.542,0.0,0.761,14.673758865248226,6.9361702127659575,4.574468085106383,0.8368794326241135,5.4,-1.3,0.4,Ivica Zubac
148,,0.414,0.348,0.662,23.549382716049383,6.734567901234568,3.246913580246914,1.5617283950617284,5.6,-1.0,0.9,Rodney McGruder
149,LAC,0.412,0.379,0.77,28.325459317585302,9.028871391076116,4.272965879265092,3.459317585301837,24.7,1.9,10.6,Patrick Beverley
150,LAC,0.479,0.372,0.77,22.143333333333334,8.403333333333334,6.136666666666667,0.9466666666666667,14.3,-0.9,1.8,JaMychal Green
151,,0.534,0.111,0.574,10.06060606060606,6.0,3.0303030303030303,0.5454545454545454,0.6,-4.1,-0.2,Johnathan Motley
152,,0.32,0.412,1.0,9.1875,1.8125,1.0,1.0,0.4,-0.5,0.1,Derrick Walton
153,LAC,0.45,0.367,0.748,21.80096308186196,6.897271268057785,4.134831460674158,1.0690208667736758,28.8,0.2,7.7,Patrick Patterson
154,NYK,0.354,0.305,0.735,21.418032786885245,5.811475409836065,2.1639344262295084,3.040983606557377,-1.8,-4.6,-1.7,Frank Ntilikina
155,NYK,0.407,0.316,0.668,29.0,14.40650406504065,3.3739837398373984,4.967479674796748,-0.7,-2.4,-0.4,Dennis Smith Jr.
156,,0.421,0.361,0.736,21.17948717948718,8.213675213675213,2.9572649572649574,1.4188034188034189,2.1,-2.5,-0.3,Damyean Dotson
157,NYK,0.372,0.348,0.717,28.67105263157895,12.842105263157896,4.473684210526316,1.0789473684210527,-1.3,-6.0,-2.2,Kevin Knox
158,,0.694,,0.6,20.606060606060606,7.348484848484849,6.409090909090909,0.5606060606060606,6.1,5.7,2.7,Mitchell Robinson
